SL NO.,DEPT,COHORT NO.,COHORT NAME,SEM,COURSE CODE,COURSE NAME,"MODE 
(A/R/P)",COURSE CATEGORY,NAME OF THE SPECIALIZATION (Only for PE),L,T,P,S,CR,CH,NO.OF STUDENTS,OFFERED BY,OFFERED TO,NAME OF THE COURSE COORDINATOR,EMP ID 
1,AIDS,,,ODD,23UC0008/23UC0009,INDIAN CONSTITUTION/Ecology and Environment,,AUC,,2,0,0,0,0,2,,,,,
2,AIDS,,,ODD,24FLXXXX/24MBXXXX,FOREIGN LANGUAGE ELECTIVE/MANAGEMENT ELECTIVE,,HAS,,3,0,0,0,3,3,,,,,
3,AIDS,,,ODD,OE1,OE1,,OE,,3,0,2,0,4,5,,,,,
6,AIDS,,,ODD,SDC,SDC(Specialization),,SDC,,2,2,0,0,4,4,,,,,
7,AIDS,,,ODD,PEC-4,PROFESSIONAL ELECTIVE - 4,,PEC,,2,0,2,0,3,4,,,,,
8,AIDS,,,ODD,PEC-5,PROFESSIONAL ELECTIVE - 5,,PEC,,3,0,2,0,4,5,,,,,
9,AIDS,,,ODD,PRI,Capstone Project-1/Internship/Prctice school,,CP,,1,0,0,4,2,5,,,,,
10,AIDS,,,ODD,VAC,VALUE ADDED COURSE,,VAC,,0,0,0,2,0,2,,,,,
11,AIDS,,,ODD,23CY1001/22PH1005,ENGINEERING CHEMISTRY,,BSC,,3,0,2,0,4,5,,,,,
12,AIDS,,,ODD,23CY1001/22PH1005,ENGINEERING PHYSICS,,BSC,,3,0,2,0,4,5,,,,,
13,AIDS,,,ODD,OE2,OE2,,OE,,3,0,0,0,3,3,,,,,
14,AIDS,,,EVEN,23UC0009,ECOLOGY & ENVIRONMENT /INDIAN CONSYITUTION,,AUC,,2,0,0,0,0,2,,,,,
15,AIDS,,,EVEN,24MBXXXX,MANAGEMENT ELECTIVE/FOREIGN LANGUAGE,,HAS,,3,0,0,0,3,3,,,,,
16,AIDS,,,EVEN,OE2,OPEN ELECTIVE-2,,OE,,3,0,2,0,4,5,,,,,
17,AIDS,,,EVEN,OE3,OPEN ELECTIVE-3,,OE,,2,2,0,0,3,4,,,,,
18,AIDS,,,EVEN,PEC-2,ENGINEERING CHEMISTRY,,BSC,,3,0,0,0,3,3,,,,,
19,AIDS,,,EVEN,PEC-3,ENGINEERING PHYSICS,,BSC,,3,0,2,0,4,5,,,,,
20,AIDS,,,EVEN,24SDCS04,Human values and ethics,,AUC,,1,0,0,4,2,5,,,,,
21,AIDS,,,EVEN,VAC,VALUE ADDED COURSE,,,,0,0,0,2,0,5,,,,,
22,AIDS,,,,,,,,,,,,,,,,,,,
23,AIDS,,,,,,,,,,,,,,,,,,,
24,AIDS,,,,,,,,,,,,,,,,,,,
