AI&DS Y23 Course Structure,,,,,,,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::ODD SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,1,ESC,23EC1101,FUNDAMENTALS OF IOT AND SENSORS,5,7,402,BSC,1,,,
,2,ESC,23ME1103,DESIGN TOOL WORKSHOP,2,4,402,AUC,2,,,
,3,BSC,23MT1002,DISCRETE STRUCTURES,4,4,402,HAS,1,,,
,4,ESC,23SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,5,9,402,,,,,
,5,AUC,23UC0017,INDIAN KNOWLEDGE SYSTEMS - VEDIC MATHEMATICS,0,2,402,,,,,
,6,AUC,23UC0018,FUNDAMENTALS OF MATHEMATICS,0,3,42,,,,,
,7,HAS,23UC1101,INTEGRATED PROFESSIONAL ENGLISH,2,4,402,,,,,
,Total,,,,18,33,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::EVEN SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,SIL,1,,,
,1,SIL,22UC0021,SOCIAL IMMERSIVE LEARNING,1,4,402,ESC,7,,,
,2,ESC,23CS1207,OBJECT ORIENTED PROGRAMMING,4,8,395,BSC,2,,ESC,13
,3,ESC,23EC1101,FUNDAMENTALS OF IOT AND SENSORS,5,7,7,HAS,3,,BSC,5
,4,ESC,23EC1202,DIGITAL DESIGN AND COMPUTER ARCHITECTURE,4,5,404,VAS,1,,AUC,2
,5,ESC,23EC1203,BASIC ELECTRICAL AND ELECTRONIC CIRCUITS,2,2,404,OEC,1,,HAS,4
,6,ESC,23ME1103,DESIGN TOOL WORKSHOP,2,4,3,,,,SIL,1
,7,BSC,23MT1001,LINEAR ALGEBRA & CALCULUS FOR ENGINEERS,4,4,404,,,,VAS,1
,8,BSC,23MT1002,DISCRETE STRUCTURES,4,4,6,,,,OEC,1
,9,ESC,23SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,5,9,8,,,,HFC,1
,10,ESC,23SC1202,DATA STRUCTURES,4,0,395,,,,PRI,1
,11,HAS,23UC1101,INTEGRATED PROFESSIONAL ENGLISH,2,4,2,,,,SDC,3
,12,HAS,23UC1202,ENGLISH PROFICIENCY,2,4,404,,,,,
,13,VAC,23UC1202L,LINGUA SKILLS CERTIFICATION,0,#N/A,??,,,,,
,14,HAS,23UC1203,DESIGN THINKING AND INNOVATION,2,4,404,,,,,
,15,OEC,OEGN0001,NATIONAL CADET CORPS - 1,3,5,6,,,,,
,Total,,,,44,64,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::SUMMER TERM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,1,ESC,23CS1207,OBJECT ORIENTED PROGRAMMING,4,8,6,HFC,1,,,
,2,HFC,23EC2106R,PROCESSORS AND CONTROLLERS,4,5,94,PRI,1,,,
,3,PRI,23IE2040,SOCIAL INTERNSHIP,0,#N/A,364,BSC,2,,,
,4,BSC,23MT1001,LINEAR ALGEBRA & CALCULUS FOR ENGINEERS,4,4,2,HAS,2,,,
,5,ESC,23SC1202,DATA STRUCTURES,4,0,9,SDC,3,,,
,6,ESC,23SC1203O,COMPUTATIONAL THINKING FOR OBJECT ORIENTED DESIGN,4,0,52,,,,,
,7,BSC,23SC3201,DATA SCIENCE & STATISTICS,4,4,5,,,,,
,8,SDC,23SDEC01A,ELECTRONIC SYSTEM DESIGN,4,10,13,,,,,
,9,SDC,23SDEC01E,ELECTRONIC SYSTEM DESIGN,4,10,1,,,,,
,10,SDC,23SDIN01A,"IOT HARDWARE PROGRAMMING	",4,10,9,,,,,
,11,SDC,23SDIN01E,"IOT HARDWARE PROGRAMMING	",4,10,3,,,,,
,12,SDC,23SDIN01R,"IOT HARDWARE PROGRAMMING	",2,6,2,,,,,
,13,SDC,23SDME01A,VISUALIZATION & MODELLING FOR ENGINEERING DESIGN,4,10,16,,,,,
,14,SDC,23SDME01E,VISUALIZATION & MODELLING FOR ENGINEERING DESIGN,4,10,4,,,,,
,15,AUC,23UC0018,FUNDAMENTALS OF MATHEMATICS,0,3,1,,,,,
,16,HAS,23UC1101,INTEGRATED PROFESSIONAL ENGLISH,2,4,5,,,,,
,17,HAS,23UC1202,ENGLISH PROFICIENCY,2,4,1,,,,,
,Total,,,,,98,,,,,,
,,,,,,,,,,,,
Academic Year_2024-25::ODD SEM( II Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,,,,,
,1,SIL,22UC0022,SOCIAL IMMERSIVE LEARNING - II,1,4,404,SIL,1,,,
,2,PCC,23AD2001A,ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,7,12,264,PCC,2,,,
,3,#N/A,23AD2001L,ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,5,#N/A,53,VAC,2,,,
,4,PCC,23AD2001R,ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,5,9,140,HEF,2,,,
,5,PCC,23AD2103A,SYSTEM DESIGN AND INTRODUCTION TO CLOUD,6,8,156,HIF,1,,,
,6,PCC,23AD2103R,SYSTEM DESIGN AND INTRODUCTION TO CLOUD,4,',101,HFC,1,,,
,7,VAC,23CC3010,AWS CERTIFIED CLOUD PRACTITIONER-CLF-C02,0,0,,HAS,3,,,
,8,VAC,23CC3060,PCAP - CERTIFIED ASSOCIATE PYTHON PROGRAMMER,0,0,,HRC,1,,,
,9,HEF,23CS05EF,"PYTHON FULL STACK DEVELOPMENT WITH DJANGO	",4,#N/A,37,PRI,1,,,
,10,HEF,23CS06EF,MERN STACK WEB DEVELOPMENT,4,#N/A,12,BSC,2,,,
,11,HIF,23DT01IF,ENTREPRENEURIAL TECHNOLOGY DEVELOPMENT AND PROTOTYPING,4,10,27,ESC,1,,,
,12,HFC,23EC2106R,PROCESSORS AND CONTROLLERS,4,5,7,SDC,1,,,
,13,HAS,23FL3054,FRENCH LANGUAGE,3,3,3,SCC,11,,,
,14,HAS,23FL3055,GERMAN LANGUAGE,3,3,1,AUC,1,,,
,15,HRC,23IE02RF,RESEARCH METHODOLOGY ETHICS AND SCIENTIFIC WRITING,3,#N/A,57,CRT,1,,,
,16,PRI,23IE2040,SOCIAL INTERNSHIP,0,#N/A,32,,,,,
,17,#N/A,23LE1001,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,0,#N/A,53,,,,,
,18,#N/A,23LE1002,ENGLISH PROFICIENCY,0,#N/A,53,,,,,
,19,#N/A,23LE1003,LINEAR ALGEBRA AND CALCULUS FOR ENGINEERS,0,#N/A,53,,,,,
,20,HAS,23MB4068,INNOVATION MANAGEMENT,4,4,27,,,,,
,21,BSC,23MT2013,RELATIONAL ALGEBRA AND INFORMATION THEORY,4,4,404,,,,,
,22,#N/A,23MT2013L,RELATIONAL ALGEBRA AND INFORMATION THEORY,4,#N/A,53,,,,,
,23,ESC,23SC1203O,COMPUTATIONAL THINKING FOR OBJECT ORIENTED DESIGN,4,0,350,,,,,
,24,#N/A,23SC1203OL,COMPUTATIONAL THINKING FOR OBJECT ORIENTED DESIGN,4,#N/A,53,,,,,
,25,BSC,23SC3201,DATA SCIENCE & STATISTICS,4,4,398,,,,,
,26,#N/A,23SC3201L,DATA SCIENCE & STATISTICS,4,#N/A,53,,,,,
,27,SDC,23SDAD01A,DATA ANALYTICS AND VISUALIZATION,4,10,245,,,,,
,28,SDC,23SDAD01E,DATA ANALYTICS AND VISUALIZATION,4,10,36,,,,,
,29,#N/A,23SDAD01L,DATA ANALYTICS AND VISUALISATION,2,#N/A,53,,,,,
,30,SDC,23SDAD01R,DATA ANALYTICS AND VISUALIZATION,2,6,122,,,,,
,31,SCC,23SP2101,ATHLETICS,0,2,8,,,,,
,32,SCC,23SP2102,BASKETBALL,0,2,18,,,,,
,33,SCC,23SP2103,BADMINTON,0,2,23,,,,,
,34,SCC,23SP2104,CRICKET,0,2,23,,,,,
,35,SCC,23SP2105,CHESS,0,2,15,,,,,
,36,SCC,23SP2109,KHO-KHO,0,2,13,,,,,
,37,SCC,23SP2110,TENNIS,0,2,21,,,,,
,38,SCC,23SP2111,TABLE TENNIS,0,2,15,,,,,
,39,SCC,23SP2113,THROW BALL,0,2,12,,,,,
,40,SCC,23SP2114,VOLLEYBALL,0,2,20,,,,,
,41,SCC,23SP2116,YOGA,0,2,65,,,,,
,42,AUC,23UC0013,GLOBAL LOGIC BUILDING CONTEST PRACTICUM,0,2,454,,,,,
,43,CRT,CRTCODL1V1,CAMPUS RECRUITMENT: LOGIC BUILDING SKILLS TRAINING ,0,8,203,,,,,
,Total,,,,93,124,,,,,,
,,,,,,,,,,,,
Academic Year_2024-25::EVEN SEM( II Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,SIL,1,,,
,1,SIL,22UC0023,SOCIAL IMMERSIVE LEARNING,1,4,454,PCC,3,,,
,2,PCC,23AD2103R,SYSTEM DESIGN AND INTRODUCTION TO CLOUD,4,',197,VAC,3,,,
,3,PCC,23AD2204A,DATA MANAGEMENT AND WAREHOUSING,6,8,286,HFC,2,,,
,4,PCC,23AD2204R,DATA MANAGEMENT AND WAREHOUSING,4,0,167,PCC,1,,,
,5,PCC,23AD2205A,DEEP LEARNING,7,12,223,HAS,2,,,
,6,PCC,23AD2205R,DEEP LEARNING,5,0,220,PRI,1,,,
,7,VAC,23CC3010,AWS CERTIFIED CLOUD PRACTITIONER-CLF-C02,0,0,,BSC,1,,,
,8,VAC,23CC3060,PCAP - CERTIFIED ASSOCIATE PYTHON PROGRAMMER,0,0,,OEC,1,,,
,9,VAC,23CC3141,GITHUB FOUNDATIONS CERTIFICATION,0,#N/A,,SDC,1,,,
,10,HFC,23CS02HF,EMBEDDED SYSTEMS DESIGN,4,#N/A,7,SCC,12,,,
,11,HFC,23CS03HF,ADVANCED ALGORITHMS AND DATA STRUCTURES,4,#N/A,55,AUC,1,,,
,12,PCC,23CS2205O,DESIGN AND ANALYSIS OF ALGORITHMS,4,0,453,CRT,1,,,
,13,HAS,23FL3055,GERMAN LANGUAGE,3,3,9,,,,,
,14,HAS,23FL3058,JAPANESE LANGUAGE,3,3,16,,,,,
,15,PRI,23IE2040,SOCIAL INTERNSHIP,0,#N/A,26,,,,,
,16,BSC,23MT2004,MATHEMATICAL PROGRAMMING,4,4,454,,,,,
,17,OEC,23OEGN02,NATIONAL CADET CORPS (NCC)-2,4,5,9,,,,,
,18,SDC,23SDCS12A,FULL STACK APPLICATION DEVELOPMENT,4,10,260,,,,,
,19,SDC,23SDCS12E,FULL STACK APPLICATION DEVELOPMENT,4,10,65,,,,,
,20,SDC,23SDCS12R,FULL STACK APPLICATION DEVELOPMENT,2,6,129,,,,,
,21,SCC,23SP2101,ATHLETICS,0,2,3,,,,,
,22,SCC,23SP2102,BASKETBALL,0,2,13,,,,,
,23,SCC,23SP2103,BADMINTON,0,2,32,,,,,
,24,SCC,23SP2104,CRICKET,0,2,22,,,,,
,25,SCC,23SP2105,CHESS,0,2,33,,,,,
,26,SCC,23SP2108,KABADDI,0,2,13,,,,,
,27,SCC,23SP2109,KHO-KHO,0,2,1,,,,,
,28,SCC,23SP2110,TENNIS,0,2,20,,,,,
,29,SCC,23SP2111,TABLE TENNIS,0,2,27,,,,,
,30,SCC,23SP2113,THROW BALL,0,2,15,,,,,
,31,SCC,23SP2114,VOLLEYBALL,0,2,14,,,,,
,32,SCC,23SP2116,YOGA,0,2,29,,,,,
,33,AUC,23UC0014,GLOBAL LOGIC BUILDING CONTEST PRACTICUM,0,2,453,,,,,
,34,CRT,CRTCODL2V2,CAMPUS RECRUITMENT: CODING SKILLS TRAINING - DATA STRUCTURES ,0,8,194,,,,,
,Total,,,,63,99,,,,,,
,,,,,,,,,,,,
Academic Year_2024-25::SUMMER TERM( II Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,,,,,
,1,PCC,23AD2103R,SYSTEM DESIGN AND INTRODUCTION TO CLOUD,4,',1,PCC,3,,,
,2,PCC,23AD3106R,BIG DATA ENGINEERING,4,5,115,FCC,1,,,
,3,FCC,23CI2001F,ADAPTIVE SOFTWARE ENGINEERING,4,#N/A,65,HFC,1,,,
